"old_url","action","new_url","type","title","blocks","images","source_file"
"/products/mechanical-bolt/expansion-bolt-2/","migrated","/products/mechanical-bolt/expansion-bolt-2/","product","Expansion Bolt [Standard]","2","2","products/mechanical-bolt/expansion-bolt-2/index.html"
"/products/epoxy-adhesive/epoxy-mortar-fis-em-390s/","migrated","/products/epoxy-adhesive/epoxy-mortar-fis-em-390s/","product","Epoxy-Mortar FIS EM 390 S","6","1","products/epoxy-adhesive/epoxy-mortar-fis-em-390s/index.html"
"/products/epoxy-adhesive/mason-mca-pe3/","migrated","/products/epoxy-adhesive/mason-mca-pe3/","product","Mason MCA-PE3 600ml.","8","5","products/epoxy-adhesive/mason-mca-pe3/index.html"
"/products/epoxy-adhesive/stronghold-sh-ep2/","migrated","/products/epoxy-adhesive/stronghold-sh-ep2/","product","Stronghold SH-EP2 400ml.","7","","products/epoxy-adhesive/stronghold-sh-ep2/index.html"
"/products/epoxy-adhesive/stronghold-sh-ep1/","migrated","/products/epoxy-adhesive/stronghold-sh-ep1/","product","Stronghold SH-EP1 600ml.","8","1","products/epoxy-adhesive/stronghold-sh-ep1/index.html"
"/products/epoxy-adhesive/pureepoxy/","migrated","/products/epoxy-adhesive/pureepoxy/","product","Pure Epoxy","5","1","products/epoxy-adhesive/pureepoxy/index.html"
"/products/chemical-anchors/hammer-capsule-anchor/","migrated","/products/chemical-anchors/hammer-capsule-anchor/","product","จำหน่ายพุกเคมีแบบตอก น้ำยาเคมีเสียบเหล็ก จัดส่งด่วนทั่วประเทศ สินค้าคุณภาพโดยบริษัท SBCC","11","3","products/chemical-anchors/hammer-capsule-anchor/index.html"
"/products/chemical-anchors/vdp-glass-capsules/","migrated","/products/chemical-anchors/vdp-glass-capsules/","product","จำหน่ายพุกเคมีแบบปั่น น้ำยาเคมีเสียบเหล็ก จัดส่งด่วนทั่วประเทศ สินค้าคุณภาพโดยบริษัท SBCC","11","2","products/chemical-anchors/vdp-glass-capsules/index.html"
"/products/constructions/","migrated","/products/constructions/","product","ผลิตภัณฑ์สำหรับงานก่อสร้าง","12","7","products/constructions/index.html"
"/products/hanging-support/","handcrafted","/products/hanging-support/","","","","","products/hanging-support/index.html"
"/products/mechanical-bolt/","handcrafted","/products/mechanical-bolt/","","","","","products/mechanical-bolt/index.html"
